Pair,Trial,Speaker,Est. X (cm),Est. Y (cm)
1&1,t1,A,6.34,11.3
1&1,t1,B,1.96,13.71
1&1,t2,A,6.34,11.3
1&1,t2,B,11.06,9.65
1&1,t3,A,-14.99,82.13
1&1,t3,B,6.34,11.3
1&2,t1,A,6.34,11.3
1&2,t1,B,6.34,11.3
1&2,t2,A,6.34,11.3
1&2,t2,B,6.34,11.3
1&2,t3,A,6.34,11.3
1&2,t3,B,6.34,11.3
1&3,t1,A,6.34,11.3
1&3,t1,B,6.34,11.3
1&3,t2,A,6.34,11.3
1&3,t2,B,6.34,11.3
1&3,t3,A,6.34,11.3
1&3,t3,B,6.34,11.3
1&4,t1,A,6.34,11.3
1&4,t1,B,6.34,11.3
1&4,t2,A,10.49,8.51
1&4,t2,B,6.34,11.3
1&4,t3,A,-0.21,23.73
1&4,t3,B,6.34,11.3
2&2,t1,A,6.34,11.3
2&2,t1,B,6.34,11.3
2&2,t2,A,10.93,9.32
2&2,t2,B,6.34,11.3
2&2,t3,A,6.34,11.3
2&2,t3,B,6.34,11.3
2&3,t1,A,6.34,11.3
2&3,t1,B,6.34,11.3
2&3,t2,A,6.34,11.3
2&3,t2,B,6.34,11.3
2&3,t3,A,6.34,11.3
2&3,t3,B,6.34,11.3
2&4,t1,A,6.34,11.3
2&4,t1,B,6.34,11.3
2&4,t2,A,6.34,11.3
2&4,t2,B,6.34,11.3
2&4,t3,A,-1.41,15.44
2&4,t3,B,6.34,11.3
3&3,t1,A,17.42,8.84
3&3,t1,B,6.34,11.3
3&3,t2,A,7.67,32.26
3&3,t2,B,6.34,11.3
3&3,t3,A,6.34,11.3
3&3,t3,B,6.98,6.34
3&4,t1,A,6.34,11.3
3&4,t1,B,6.34,11.3
3&4,t2,A,-0.85,15.27
3&4,t2,B,6.34,11.3
3&4,t3,A,6.34,11.3
3&4,t3,B,2.45,14.44
4&4,t1,A,11.19,10.08
4&4,t1,B,6.34,11.3
4&4,t2,A,6.34,11.3
4&4,t2,B,10.69,8.84
4&4,t3,A,6.34,11.3
4&4,t3,B,9.79,32.01
